id,text,yes,no
292,如果用說的說不出口就用Line打字吧，她們也會比較知道妳是很嚴肅在說這件事,1,0
86,除了金錢，你最大的追求會是什麼？,1,0
161,相不相信世界上會有一個「對的人」？,1,0
128,你喜歡吃巧克力嗎?,1,0
425,好可憐QQ,0,1
385,我一直覺得活著好累，以前會怨懟自己的環境，但我現在才知道就是有以前那些磨難，才有現在的我，如果我過著安逸的生活，那麼我是不是會成為一個爛人，我不會去打工，不會認真讀書，不會去想著讓家人過更好的生活。,1,0
325,男友媽生了兩個，偏偏男友是長男，他爸媽又很傳統，他台南人我桃園人，結果他媽媽在他回家的時候一直洗腦他，要男友跟他媽媽鍾意的女生約出門,1,0
333,其實我不知道我自己這麼做是不是對的，也想知道大家如果遇到一樣的事情是什麼看法，因為我一直覺得大一就該讓他好好去玩，不想讓他覺得因為我而不能做很多事情，但是這樣卻讓我不是很愉快。,1,0
213,起士控的我表示：把餅乾交出來啊啊啊,1,0
394,我用了很多的方法讓他離開我，因為個性不合年紀差異加上距離太遠，這樣的過程常常讓我感覺他的心思不在我身上，就算口口聲聲說多喜歡我多愛我，我也很難相信了...,1,0
365,如果他追妳的這段期間，妳覺得並沒有感受到他的非分之想，也沒有接收到他一直想跟妳做的訊息，那我覺得就是他在這段期間真的有所改變吧,1,0
37,覺得有「認真做卻沒做好」跟「沒有認真做但有做好」哪個比較好？,1,0
415,等塵埃落定才致信，你的朋友這個部分做的很體貼,0,1
6,上一次唱歌給自己聽是什麼時候？,1,0
24,你會不會覺得自己的童年比大部分人快樂？,1,0
275,我一直不認為結婚就要雙方家庭所有人都滿意喜歡才能結，難道只要一個人不喜歡就不結婚嗎？,1,0
154,曾經到哪裡旅行過？,1,0
363,我是不相信這種人會放真心啦，就算他說他愛你，難道那不是為了讓到手的肉不要逃走而撒的謊嗎？,1,0
96,你曾犯下的最大的錯誤是什麼？它是如何改變你人生的？,1,0
225,都覺得用手機告白很爛，沒誠意,1,0
205,你是單親家庭嗎?,1,0
8,假如你能夠活到90歲，並且你可以選擇讓你的心智或身體在後60年一直停留在30歲，你會選擇哪一個？,1,0
42,如果有一個人真的不小心踩到你的底線你會怎麼做？,1,0
423,哈哈真的很難買,0,1
98,你人生中最後悔的事是？,1,0
165,在談戀愛的時候你最需要另一半做什麼？,1,0
290,雖然是真的沒在做什麼，但就是不想讓別人知道,1,0
458,買！！！,0,1
467,超難用,0,1
259,我想長大學會的就只是「承受」，總是有一些心靈毒雞湯會說「要感謝那些痛苦的過去和刁難你的人們」之類的話。其實這根本瞎扯，只不過是倖存者的片面之詞，要感謝的人就只有能挺過那些問題的自己和幫助自己的人。,1,0
200,就覺得活著很累啊!好想死喔,1,0
186,我討厭別人對我指指點點,1,0
61,最想活在哪一歲？為什麼？,1,0
177,如果有一天你的前任跟你說還想要跟你在一起，你會？,1,0
150,生命中最後一天會選擇跟誰過？,1,0
358,想知道這三個月以來，他會不會一直想跟妳發生關係？如果有，建議還是分手吧！,1,0
228,我內心還會想說看什麼看但又不能說什麼,1,0
181,你喜歡聽哪一國的歌？,1,0
465,一定是賣不出去貨存太多,0,1
347,很莫名其妙沒錯...我個人是覺得呢這是我學生時代留下的陰影,1,0
120,偉人所達到並保持著的高處，並不是一飛就到的，而是他們在同伴們都睡著的時候，一步步艱辛地向上攀爬的。,1,0
445,要幸福唷~,0,1
214,包包很好看～～！,1,0
74,你覺得熱戀中還繼續關注其他女人是不是不好？,1,0
494,我都睡死了,0,1
321,跟前任九年，和平分手，原本以為可以繼續當朋友，畢竟共同好友太多，聚會都會遇到。無奈他的現任覺得這樣很不妥，要求前任封鎖我的一切，也不能出現在同個聚會。,1,0
330,價值觀不同真的不要在一起甚至是結婚，要和你走一輩子的人，路上還會發生多少事？價值觀合的話就是依靠跟交流的出口，不合的話就是更多的厭惡煩躁。,1,0
183,如果給你一台時光機，你最想回到哪時候？,1,0
218,我好喜妳的字！,1,0
269,全班三十個人，女生加我五個，結果我還可以被女生衝康欸，我覺得男生好相處多了,1,0
60,你在空閒時間做什麼？,1,0
110,唯有關懷，才能把自己變成一把細膩的鑰匙，進入別人的心中，了解別人。,1,0
485,十二月二十二號禮拜天放假,0,1
406,哈哈哈太可愛了吧，我以為大家都會被叫寶貝之類的,0,1
344,在男朋友面前自信爆棚都覺得自己最正，一般人面前就蠻自卑的,1,0
448,我剛起床，好累喔,0,1
264,照顧孩子本來就是爸媽的義務啊⋯⋯如果沒有辦法給孩子很好的教養，請不要生，以免增加許多社會負擔！很多生了，又不教，往往孩子長大走歪的機率大增⋯⋯,1,0
194,你覺得這世界上有分身的存在嗎?,1,0
327,我個人最大的雷區就只有「欺騙、不給面子」，其他都還好,1,0
32,平常閒著的時候喜歡做什麼？,1,0
255,後來發現，其實只要跳脫原本的環境，只要去做些原本不敢做的事，現實狀況都會好轉,1,0
334,再來，妳是他女友，為什麼不能管他？為什麼不能說介意他的交友或生活？可以認識新的朋友，但如果這些朋友裡面有什麼讓他覺得有一個特別存在的人，是不是會有問題？,1,0
434,好萌阿,0,1
398,沒有啦，只是通常不是都會放閃光雄,0,1
316,覺得妳在這樣的關係中有點傻而且被自私的他吃死況且你們也還沒結婚完全沒必要這樣養他～建議還是要為自己存點錢不要通通花在男方身上了！,1,0
224,好可惜啊，真的很喜歡她的配音,1,0
317,前男友劈腿提了分手，卻一直跑來密我說還愛我卻要分手，看著他的演戲，心裡就一直思考這個在一起這麼久的人，怎麼會看起來很愛我卻這樣對我...,1,0
101,很後悔我8年級時，對一個同學說了非常傷人的種族歧視的話。,1,0
473,有錢的日子可以過窮日子也可以過才厲害,0,1
454,我剛剛也去補貨了,0,1
287,我的劈腿是還沒分手他就跟別人在一起了，一個月後才來跟我吵要分手，還說一堆莫名其妙的理由，讓我想很久我們到底怎麼了，結果最後被我發現，是他早就跟別人在一起,1,0
244,我個人覺得部分獨立的女生，其實就有點像男生的木頭。,1,0
176,初戀的故事？,1,0
346,男朋友也不會讓我覺得自卑，可是在還沒有男朋友之前滿自卑的,1,0
250,沒辦法給孩子一個好的成長環境，千萬不要生！！沒人逼大家生孩子吧⋯⋯生了，就好好養，養育孩子本來就是爸媽的義務跟責任！,1,0
142,你最喜歡哪個AV女優,1,0
220,我姐姐前陣子在日本留學，日本的女孩子腿型大多比較不好看，所以她們都是用長裙長洋裝修飾身材,1,0
78,你覺得有必要間或把父母送進養老院嗎？,1,0
68,初吻時是幾歲？,1,0
81,你打算如何贍養年老的父母？,1,0
286,所謂珍惜朋友是一定要見面的嗎？一定要早晚問安的嗎？我覺得不是，我跟我家人也不會每天問安，好姐妹也一樣，但也不會不見面就怎樣，這樣是不珍惜嗎？這樣我的家人姐妹也會覺得我不珍惜他們嗎？不會啊，愛妳的人才不會這麼想，所以我覺得他講的理由完全不能說服妳的疑慮，所以退讓只會讓妳憂鬱，更煩，除非妳調適能力很好，不然妳只會更懷疑自己是不是做錯選擇,1,0
191,比起相信別人，我更相信自己,1,0
291,我室友曾經要帶朋友來不事先講就算了，還待到半夜快一點還不走,1,0
130,你喜歡爬山嗎?,1,0
455,這個好用～薄薄的沒什麼感覺,0,1
309,我自己一定是會把結婚看得很慎重的。,1,0
187,你最喜歡我哪一點?,1,0
164,分手後關於前任的物品你會怎麼處理？,1,0
462,昨天在寶雅買任兩件覺得蠻便宜的,0,1
185,如果你喜歡一位異性，但是他與你的好友卻兩情相悅，你會祝福他們嗎？,1,0
197,你有特別喜歡哪位演員嗎?,1,0
457,屈臣氏也有喔,0,1
4,你希望成名嗎？在哪一方面？,1,0
16,你人生最大的成就是什麼？,1,0
326,後來我還是硬著頭皮釋出我僅存的善意，不過不是委屈自己的那種，是我爸媽教我的做人最基本的禮貌,1,0
209,包包超好看的耶！,1,0
236,你這些話完全是我心裡所想的...,1,0
114,任何一種帶有心靈感應的愛，都可以讓阻斷的生命之水重歸流動，特別是愛情。,1,0
261,貧窮真的不是問題，教育才是問題。,1,0
132,你會希望擁有翅膀，還是有隱形的能力?,1,0
179,約會時會想去什麼地方？,1,0
374,都已經過了一年了，我還清楚記得她當時的表情有多高興，一直說沒想到自己那麼快要生了，到最後那媽媽坐在輪椅上被推回來，沒有哭，異常鎮定，眼神空洞、痛苦。,1,0
35,最喜歡跟女朋友一起做甚麼？,1,0
122,思想是何等奇妙的事，如何去想，決定權在你。,1,0
83,你第一次見我父母時有什麼感想？,1,0
373,醫生宣布寶寶真的沒心跳，看那媽媽從剛入院的期待到絕望,1,0
143,你曾經想過把你討厭的人殺死嗎?,1,0
146,如果另外一半外遇你會原諒他嗎？,1,0
129,你喜歡去哪個國家玩?,1,0
371,"真的很討厭分手後還會想他的我,我就是被丟下的那個人。",1,0
148,你覺得同性戀怎麼樣？,1,0
341,第一次戀愛使人印象深刻，放不下的只是內心的執念，沒經歷熱戀期的點點滴滴，如何彼此在心中烙印身影，放下過去學會堅強是成長，只是這是個艱難困苦選項。,1,0
414,孤男寡女共處一室，會沒發生什麼才奇怪，尤其是日常有說有笑的，互動很頻繁的,0,1
207,好帥好美好適合,1,0
192,如果世界上有魔法的話，你想學會什麼樣的咒語?,1,0
136,你和你最好的朋友怎麼認識的?,1,0
235,不能同意妳更多了。,1,0
158,喜歡打遊戲嗎?,1,0
484,我已經先去搶,0,1
382,後來我告訴自己，每個選擇每個念頭都是老天給自己的提示，或許我還能再撐，撐著撐著，期待有一天能肯定自己，找到自己存在的意義與價值吧，我出現過蠻多次自殺的念頭的，可是我怕痛。,1,0
99,後悔沒有珍惜一份感情，後悔沒有多陪伴家人，後悔離開了某個地方，後悔輕易放棄了某個愛好,1,0
139,你常和你的朋友吵架嗎?,1,0
318,分手後沒多久，新男友人出現了，新的他對我很好很好，甚至也讓我知道自己值得被喜歡,1,0
444,米香平安健康長大,0,1
215,啊啊啊啊啊啊梅子片超讚的啊我等下一定要去買一個來吃,1,0
84,你喜歡什麼動物，不喜歡什麼？,1,0
94,你做過的最混蛋的是哪件事？,1,0
407,我原本也這麼想，但現實是完全沒有粉紅泡泡,0,1
118,我們從小便被大人們教育要爭氣、要出頭，但是爭氣出頭的，不過是少數人，沉默的大眾畢竟還是多數。,1,0
18,你最珍貴的回憶是什麼？,1,0
418,希望妳不要再遇到這種人了,0,1
237,你只是沒遇到懂得珍惜的人。,1,0
52,你最理想的死亡是怎麼樣的？,1,0
300,跟男朋友一向自卑到爆,1,0
49,如果你媽跟你伴侶處與危險之中，但你只能選一個救你會選擇誰？,1,0
62,你認為人在哪一歲開始衰老？它又是如何改變人們生活的？,1,0
80,你不經意做的哪件事最讓父母開心？,1,0
252,我覺得被霸凌本來就要怪霸凌他的人，但即便不被霸凌還是可以怨恨自己的出身吧？,1,0
212,謝謝你的分享照片很美,1,0
298,有些室友是可以溝通的，試著跟大家溝通討論，這也是住宿可以學習到的一環,1,0
271,對於缺乏自信只好靠這種方式找回自我的人，我們應當包容且關懷他，因為我們不知道他是否在其他方面受到了太多的挫折,1,0
380,我有重度精神病，我告訴自己的方法是，人是很脆弱的，隨時都能死，那既然隨時都能死那為什麼要選現在呢？努力活一把，真的不行了再跳下去,1,0
15,還沒去做想做的事的原因是什麼？,1,0
468,屈臣氏也是,0,1
409,想試試看不同人吧,0,1
357,愛與不愛不只是嘴巴說說，是行動,1,0
433,噢幹我都心都融化了,0,1
416,對啊，很替朋友難過,0,1
103,後來我才意識到我當時就是在霸凌別人，我很後悔…,1,0
104,婚姻之所以容易成為愛情的墳墓，一個很重要的原因是，婚姻只是我們過去家庭模式的複製。,1,0
27,最近有沒有尷尬的時刻？,1,0
412,天哪，真的還好你分了,0,1
88,你相信世上有鬼嗎？,1,0
229,跟一般男同學相處感覺最深刻，就覺得自己沒什麼自信,1,0
82,你希望死後人們對你的評價是什麼？,1,0
119,想一想，有那麼多人都和你我一樣，不也是很值得感到興奮的一件事嗎？,1,0
304,所以我不太敢跟男生講話，也不敢對視，就母胎單身到了現在,1,0
95,父母關係才是孩子心理健康的模板，而且也是孩子以後進入社會、與他人建立關係的模板。,1,0
452,一起加油吧,0,1
241,又是酒駕，怎麼酒駕的人不去死死。,1,0
189,你願意簽下器官捐贈卡嗎?,1,0
306,其實我覺得沒事回家陪陪家人放慢一下生活步調也不錯啦，爸爸媽媽真的老的很快,1,0
430,對啊對啊傻眼欸,0,1
483,這樣很可以,0,1
493,太可惜了不能去把妹了,0,1
5,對你來說，怎樣才算是完美的一天？,1,0
307,因為男友實在對我太溫柔暖心，這讓我無法確認他是否真的會做出這樣的事,1,0
478,分手後要忙爆，忙到到家就能直接睡的那種這感覺真舒服,0,1
116,家就是「婆婆媽媽」的地方，家之所以溫暖，主要就是因為家裡的成員「婆婆媽媽」，能理解並體貼彼此那些瑣細的感受。,1,0
272,社會上、職場上不會有同理心啦，面對才是最好的同理心,1,0
12,你希望明天早上起床後能獲得任何什麼一種能力或特質？,1,0
319,愛情是一段旅程，人們走走停停來來往往，妳只不過在錯的時間遇見對的人，但這就是現實的無奈，愛情本該是刻骨銘心的，有甜蜜過有悲傷過有痛苦過，放過自己吧...,1,0
100,除了關於愛或不愛的遺憾，還有很多人最後悔的事情，是關於「傷害」的。,1,0
463,就看到這個...快暈倒,0,1
470,完全無法體會他的好所以對液體無感,0,1
70,你認為在戀愛中誰會占主導地位,1,0
459,好划算！！,0,1
147,你在駕駛的時候路上有小動物來不及剎車了，你會輾過去還是不顧自己安全急轉？,1,0
360,真的長痛不如短痛，更遑論在未來也有可能發生性行為之後，他去跟朋友吹噓的情況出現,1,0
289,好的謝謝妳剛住一個禮拜真的很不習慣一直被看的感覺,1,0
3,你與母親的關係如何？,1,0
348,我覺得妳得讓他知道妳真的完全接受不了這種事，最好冷落他一天，看他有沒有來挽回妳，如果沒有，就代表他對妳也沒多認真。,1,0
315,你男友很自私耶！感覺就是把妳當作免錢的生活費跟雜支來源⋯他自己賺的存起來拿來買房，然後吃住用的連傢俱都不用錢，如果他感覺很愛你就算了，但從妳敘述感覺到的是計較和現實。,1,0
431,那肚子可以喔,0,1
258,其實我也一直認為塑膠並不是不好的東西，不重複使用才是最大硬傷,1,0
180,最多能接受和另一半不能見面多久？,1,0
403,我這不就來了嗎,0,1
446,謝謝妳！！,0,1
26,你喜歡他或她的什麼哪裡？,1,0
231,人本來就有性慾啊有的人沒有伴侶還是會想接納自己的慾望，是個人選擇,1,0
400,德國豬腳也太好笑了吧哈哈哈哈,0,1
166,能接受另一半因為遊戲而跟異性有親密的接觸嗎？,1,0
267,我覺得你要多為自己爭取權利,1,0
233,感覺很像那種公主病死網美。,1,0
141,你第一次看A片是幾歲?,1,0
370,感覺發生關係後就回不去的感覺，在還沒確定關係前請保護自己好嗎，珍惜自己一點,1,0
464,我覺得很難用欸,0,1
199,說到那個殺人事件啊...我就覺得那個犯人簡直有病!,1,0
353,妳如果能接受..自己心理建設要足夠強大，往後所有你認為委屈的事就是，他道歉不道歉應付著罷了，妳還是一直得受“委屈”囉,1,0
314,比起受所有人肯定，瞭解自己和能決定自己是誰更為重要。,1,0
222,酒駕不得好死幹,1,0
296,我們甚至把生活公約貼在門上，提醒大家要記得,1,0
367,好害怕萬一自己親眼目睹，有沒有那個勇氣去面對,1,0
131,如果你中頭獎，第一件事你會做什麼?,1,0
408,還有，做得好，別聯絡了。,0,1
145,你曾經被霸凌過嗎?,1,0
203,你大學常翹課嗎?,1,0
25,如果你要成為對方的密友，有什麼事是他或她需要知道的？,1,0
247,我覺得如果你覺得你自己會一直介意就要試著把你的想法傳達給他。,1,0
299,然後不舒服的地方就溝通一下好好講,1,0
171,好好的結束一段感情該怎麼做？,1,0
417,好扯！！拍拍,0,1
257,所以說教育還是很重要，成就財富可以輸，人品道德一定不行。,1,0
436,現在送養後也被養的肥肥胖胖了,0,1
208,前一陣子陸陸續續在看一些皮夾fennec的長夾現在沒生產了超難過的其他短夾中夾我又不是很滿意但設計跟材質我覺得fennec應該是我心中第一,1,0
288,感覺年紀越大真的懶得管跟室友感情好不好了XD,1,0
102,後悔上學的時候，和其他人一起霸凌了一個同學。,1,0
337,也或許是你可以改變一下你的思想，多信任男友一點，他們就真的單純在吃飯而已，我也不喜歡妨礙男友的交友圈,1,0
29,如果你今天晚上就會死掉，而且無法與任何人聯繫，你最遺憾還沒有告訴別人什麼事？,1,0
193,世界是一台虛擬電腦，我們都只是裡面的一道程序,1,0
9,關於未來你可能怎麼死，你有自己的秘密預感嗎？,1,0
121,雖是同樣的情況，然而不同的意念，就會產生不同的態度。,1,0
447,你靠北喔,0,1
195,我覺得那個人超誇張的，問他話也不回,1,0
97,如果你撿到一個錢包，你會怎麼做？,1,0
170,會如何和自己有興趣的異性搭訕？,1,0
476,推三十日!剛好包包裡面就有,0,1
352,相信我。要說真的愛嗎也許有，但長遠來看…，他，還是比較愛自己,1,0
340,他以前覺得我單獨跟男生吃不太妥，但現在因為感情比較穩定了就信任我，他會想要我同意再這樣做，我不同意他也不會硬做，但我們都不希望對方不開心,1,0
388,我轉到新學校年了也沒一個朋友，現在只想趕快畢業！雖然日子過的很痛苦，可是不打起精神又不行，憂鬱得想哭。,1,0
397,那什麼？,0,1
93,我人生最後悔的，可能就是沒有珍惜好我年輕時候遇到的一個男人。錯過之後我就再也找不到他了。,1,0
377,他以為生了小孩，我爸會比較定下來老天可能聽了他的心願，生了一個兒子，但最終的結局還是在我五歲的時候離婚了，想抱怨什麼，但每次想起總覺得很苦。,1,0
402,我剛剛去大便,0,1
140,你有討厭的人嗎?,1,0
77,你對用在孩子身上的開銷有何看法？,1,0
249,窮人本來就不該生小孩啊！生下來大家都過苦日子⋯還希望能養兒防老？,1,0
442,看診費、開刀住院都有支付,0,1
66,初戀時你多大？,1,0
13,假如有顆水晶球能告訴你關於自己、人生或未來的一切真相，你想知道什麼？,1,0
401,他才豬腳麵線勒,0,1
87,如果你中了彩票，會去做什麼呢？,1,0
265,人要是都知足就不會進步了,1,0
410,謝謝你，可能吧但也太犯賤,0,1
384,任何人的痛苦都不能比較，那些沒經歷過但一直叫我們比爛的人真的很過分，我也對著我媽咆哮過為什麼要給我這種童年，但這真的要自己的心態調適，無法改變就是無法改變，那我們就自己努力。當我踏上美國的土地之後我知道我還是能做到小時候想都不敢想的事情，希望覺得很痛苦很痛苦的大家真的就是面對，然後讓自己更強。,1,0
173,談戀愛時對方做什麼會覺得自己真的被愛著？,1,0
336,也許你能夠跟著他們一起去吃，或者是讓那位異性友人知道有你這位女友的存在，或是叫男友找別位朋友,1,0
453,我記得康是美也是哦,0,1
89,你最好的朋友是誰？,1,0
424,你有什麼障礙⋯,0,1
153,跟家人最溫馨的回憶？,1,0
437,加害人就像有冤屈似的，錯的永遠是被害者。,0,1
391,前幾天我被綠了，我斬釘截鐵提分手，淚流滿面，整顆心揪在一起，但她很難過的哭著，希望我給她一個禮拜想想，我還是給了，比起我，你有骨氣多了..,1,0
389,我記得那天晚上跟我爸說我有焦慮症，一口氣把這些年憋在心裡的感受講出來，眼淚完全止不住，痛哭流涕。,1,0
295,當然這些事不是一開始就馬上講出來的，是大家心裡感到不舒服的時候，才會提出來討論、設定生活公約,1,0
469,之前用不知道什麼牌子上面寫日文,0,1
248,那種只想自己爽不顧妳意願的我們通常稱之為渣男。,1,0
379,我也很常遇到這樣的問題，可是整理出了那些自己愛的和愛自己的人，就會覺得說，那我再多撐一下吧，其實慢慢會發現真的就是當下的衝動，然後可能沒有想過，如果真的這樣做了會怎麼樣，就是挺過那些痛苦跟衝動，相信明天都會變得更好。,1,0
311,即便只有短暫一年，但我非常珍惜與你相處的時光，看著你這一年來的成長，我心裡默默替你感到開心。,1,0
273,你好像有點太在意失敗這件事情了，勸你不要怕失敗,1,0
393,我自己有交過一兩任過都是被分手收場，其實有點小受傷，害怕再去喜歡一個人，害怕他跟我想得不一樣，是個會傷害我的人,1,0
2,愛和感情在你生命里扮演什麼樣的角色？,1,0
67,朋友送了一份你並不喜歡的禮物給你，你會怎樣做？,1,0
345,給自己一點自信！先學會愛自己才能愛你的男友！,1,0
76,你認為自身該在孩子的教育中扮演怎樣的角色？,1,0
221,這樣的穿搭可以遮掉腿，也可以像仙女一樣、很氣質的！,1,0
108,擔心不如寬心，窮緊張不如窮開心。,1,0
10,你的人生中最感恩的事情是什麼？,1,0
390,只是跟你不同我沒遇到其他人，也不想再遇到其他人，也沒想要繼續下一段旅程，直接現在我還在做惡夢..,1,0
466,我用這個月經整個外露,0,1
364,分手，會講這種話的男生都是爛貨，請找會尊重女性的人在一起,1,0
492,要不要來有種來,0,1
246,我覺得既然妳很少做家事那就沒資格抱怨妳出比較多錢。,1,0
151,跟家人相處的好嗎？,1,0
174,覺得自己值得被愛嗎？,1,0
14,有什麼事想做很久了？,1,0
461,我自己覺得很好用～很會吸又蠻服貼的，就是不會像有些衛生棉版型比較硬會跟內褲兩個世界,0,1
168,身體上的出軌和精神上的出軌比較介意哪一個？,1,0
278,我也算是正在面臨放下的階段吧？只是我的理性逐漸戰勝感性，變得比較果斷。失戀很痛沒錯，別因為怕痛就不再相信愛情，對的人肯定還在遙遠的地方等著你，只不過中間多少會殺出一些不適合你的人來擾亂你、考驗你。,1,0
109,每個人的心，都像上了鎖的大門，任你再粗的鐵桿也撬不開。,1,0
324,其實我蠻主動的了，我有些邀約她也都說好，不過真的就是在線上聊天的時候都很尬，不過我再試著當面跟他講話的時候會不會好點,1,0
238,覺得鼻酸QQ,1,0
28,有什麼事是地雷？,1,0
217,字好好看,1,0
198,你想用什麼樣的方式，安葬自己,1,0
7,唱歌給別人聽又是什麼時候呢？,1,0
175,覺得另一半要「互補」還是「相似」好？,1,0
73,誰該對孩子進行性啟蒙？當孩子多大時呢？,1,0
303,有男友之後不太在乎其他男生的眼光，就沒有什麼自卑的問題,1,0
331,戀愛的感覺本來就可遇不可求，再說在一起久了激情早晚會被消磨掉，但是價值觀不合的話，別說彼此分享生活開心的聊天了，就連溝通都很難，以後大大小小的爭吵只會更多不會更少，你一定要想清楚，因為結婚後家庭會是生活重心很重要的一塊，也可能會是你花最多時間的地方，生活不開心、看對方，越來越不順眼會很痛苦啊啊啊，這是你想要的生活嗎？,1,0
91,什麼事情會讓你快樂一整天？,1,0
41,只能選一個你會選擇「你的伴侶」還是「一輩子花不完的錢」？,1,0
216,我是梅子控,1,0
256,試想一下，都有勇氣要結束自己的生命了，怎麼沒有勇氣去做改變？怎麼沒有勇氣遠離原本的環境跟人事物，去一個沒人認識的地方從新開始？,1,0
355,可以讓你心動的人有很多個，如果有疑慮就別勉強了吧,1,0
127,你喜歡什麼顏色?,1,0
163,你的夢想是什麼？,1,0
266,別把自己的人生也賠下去，不論是同情還是叫你苦撐好像都對你不公平，，我的想法是不如就報復社會吧！，這個社會欠你的，加倍討回來。,1,0
40,有沒有什麼想跟別人說卻說不出口的話？,1,0
48,有沒有喜歡哪位明星？,1,0
411,當下也是很擔心，那幾天心情整個很差,0,1
124,有些人總以為是上蒼欠他的，老覺得老天爺給的不夠多、不夠好，貪婪之慾早已取代了感恩之心。,1,0
419,看他那樣抓扶把的樣子就覺得他不是正常人腦袋一定有問題,0,1
351,戀愛就是如此，熱戀的時候鬼遮眼，等到熱戀期過段時間，妳就會慢慢發現這是“本性”,1,0
1,情人節該帶女朋友去哪慶祝？,1,0
395,本身就是一個缺乏安全感的人了，這樣的狀況實在是沒辦法接受卻又不想讓他再次用眼淚來讓我心軟，我只好讓他討厭我，裝成沒有他還是過的很好。,1,0
210,謝謝已收藏，好美,1,0
422,有點渙散那種,0,1
134,如果你發現有人在偷東西，你會揭穿他嗎?,1,0
190,你覺得AI會取代人類嗎?,1,0
293,以前我住宿的時候，我們都很注重隱私，但會有程度上的差別，所以我們都會告知彼此自己的底線在哪,1,0
372,我不喜歡暴躁易怒的自己，也不想再跟他產生不愉快了，所以分的很果斷。,1,0
21,友情對你而言意味著什麼？,1,0
51,能接受另一半有非常要好的異性好友嗎？,1,0
123,試探如餌，可以輕而易舉的使許多人顯露出貪婪的本性，然而那常常是吃虧受騙的開始。,1,0
328,我也蠻怕這個狀況的，因為那女生是跟他從國中開始的好朋友，他們有一群人都認識很久，所以他也說他不可能因此不跟那女生聯絡。但他很認真跟我說，他現在心理只有我，所以我想先相信他。,1,0
488,你出門了唷,0,1
313,我過了三年了，真的好憂鬱，感覺跟周遭的人都格格不入。,1,0
443,謝謝妳沒有放棄，米香超可愛的,0,1
47,覺得有在健身的人怎麼樣？,1,0
75,當你看到一個男性，你最先注意的是他的哪一部位？,1,0
429,沒事，今天補班補課還是要上班ㄉ,0,1
472,好單純的姐姐啊～,0,1
486,這樣很好耶,0,1
270,我覺得抱怨的目的是為了抒發情緒，而不是改變現實。,1,0
39,有沒有喜歡的運動？,1,0
57,能不能接受老婆因為自己的興趣而冷落了自己？,1,0
